latitude,longitude,bar,night_club,police,bus_station,train_station,shopping_mall,hospital
34.396308000000005,-82.5,1,0,0,0,0,0,0
34.396308000000005,-80.0,12,1,2,0,0,3,4
34.396308000000005,-77.5,20,0,1,0,0,1,2
34.396308000000005,-75.0,0,0,0,0,0,0,0
34.396308000000005,-72.5,0,0,0,0,0,0,0
34.396308000000005,-70.0,0,0,0,0,0,0,0
34.396308000000005,-67.5,0,0,0,0,0,0,0
36.896308000000005,-125.0,0,0,0,0,0,0,0
36.896308000000005,-122.5,0,0,0,0,0,0,0
36.896308000000005,-120.0,11,2,0,1,0,5,7
36.896308000000005,-117.5,0,0,0,0,0,0,0
36.896308000000005,-115.0,0,0,0,0,0,0,0
36.896308000000005,-112.5,0,0,1,0,0,0,0
36.896308000000005,-110.0,0,0,0,0,0,0,0
36.896308000000005,-107.5,0,0,0,0,0,0,0
36.896308000000005,-105.0,0,0,0,0,0,0,0
36.896308000000005,-102.5,0,0,0,0,0,0,0
36.896308000000005,-100.0,0,0,0,0,0,0,0
36.896308000000005,-97.5,0,0,0,0,0,0,0
36.896308000000005,-95.0,0,0,0,0,0,0,0
36.896308000000005,-92.5,0,0,0,0,0,0,0
36.896308000000005,-90.0,1,0,3,0,0,0,1
36.896308000000005,-87.5,16,3,1,0,0,3,8
36.896308000000005,-85.0,2,0,0,0,0,0,0
36.896308000000005,-82.5,0,0,2,0,0,0,0
36.896308000000005,-80.0,0,0,1,1,0,0,1
36.896308000000005,-77.5,0,0,0,0,0,0,0
36.896308000000005,-75.0,0,0,0,0,0,0,0
36.896308000000005,-72.5,0,0,0,0,0,0,0
36.896308000000005,-70.0,0,0,0,0,0,0,0
36.896308000000005,-67.5,0,0,0,0,0,0,0
39.396308000000005,-125.0,0,0,0,0,0,0,0
39.396308000000005,-122.5,1,0,1,0,0,0,0
39.396308000000005,-120.0,0,0,0,0,0,0,0
39.396308000000005,-117.5,0,0,0,0,0,0,0
39.396308000000005,-115.0,0,0,0,0,0,0,0
39.396308000000005,-112.5,1,0,1,0,0,0,2
39.396308000000005,-110.0,0,0,0,0,0,0,0
39.396308000000005,-107.5,0,0,0,0,0,0,0
39.396308000000005,-105.0,5,1,0,0,0,0,4
39.396308000000005,-102.5,0,0,0,0,0,0,0
39.396308000000005,-100.0,1,0,0,0,0,0,0
39.396308000000005,-97.5,1,0,0,0,0,0,0
39.396308000000005,-95.0,14,0,3,0,0,1,1
39.396308000000005,-92.5,6,1,4,0,0,3,7
39.396308000000005,-90.0,1,0,1,0,0,0,0
39.396308000000005,-87.5,14,2,4,1,0,4,9
39.396308000000005,-85.0,4,0,2,0,0,1,3
39.396308000000005,-82.5,3,0,0,0,0,0,0
39.396308000000005,-80.0,4,0,3,0,0,2,1
39.396308000000005,-77.5,20,4,11,3,2,20,20
39.396308000000005,-75.0,15,0,5,2,0,6,20
39.396308000000005,-72.5,0,0,0,0,0,0,0
39.396308000000005,-70.0,0,0,0,0,0,0,0
39.396308000000005,-67.5,0,0,0,0,0,0,0
41.896308000000005,-125.0,0,0,0,0,0,0,0
41.896308000000005,-122.5,1,0,0,0,0,0,0
41.896308000000005,-120.0,0,0,0,0,0,0,0
41.896308000000005,-117.5,0,0,0,0,0,0,0
41.896308000000005,-115.0,0,0,0,0,0,0,0
41.896308000000005,-112.5,0,0,0,0,0,0,0
41.896308000000005,-110.0,0,0,0,0,0,0,0
41.896308000000005,-107.5,0,0,0,0,0,0,0
41.896308000000005,-105.0,0,0,0,0,0,0,0
41.896308000000005,-102.5,0,0,0,0,0,0,0
41.896308000000005,-100.0,0,0,0,0,0,0,0
41.896308000000005,-97.5,1,0,2,0,0,0,0
41.896308000000005,-95.0,4,0,1,0,0,0,6
41.896308000000005,-92.5,2,0,5,0,0,0,0
41.896308000000005,-90.0,0,0,1,0,0,0,0
41.896308000000005,-87.5,20,7,0,6,0,2,11
41.896308000000005,-85.0,15,1,2,0,1,1,3
41.896308000000005,-82.5,0,0,0,0,0,0,0
41.896308000000005,-80.0,5,0,0,0,0,0,0
41.896308000000005,-77.5,3,0,2,0,0,0,1
41.896308000000005,-75.0,8,0,2,0,0,0,1
41.896308000000005,-72.5,20,2,7,5,0,13,6
41.896308000000005,-70.0,12,1,2,2,0,0,0
41.896308000000005,-67.5,0,0,0,0,0,0,0
44.396308000000005,-125.0,0,0,0,0,0,0,0
44.396308000000005,-122.5,0,0,0,2,0,0,0
44.396308000000005,-120.0,0,0,0,0,0,0,0
44.396308000000005,-117.5,0,0,0,0,0,0,0
44.396308000000005,-115.0,0,0,0,0,0,0,0
44.396308000000005,-112.5,0,0,0,0,0,0,0
44.396308000000005,-110.0,0,0,0,0,0,0,0
44.396308000000005,-107.5,0,0,0,0,0,0,0
44.396308000000005,-105.0,0,0,0,0,0,0,0
44.396308000000005,-102.5,0,0,0,0,0,0,0
